Time,Title,Speaker,Abstract,Status
09:40,Invited Keynote,Luis Lamb,,Confirmed
10:45,Lightning Talk 1,TBC,,Pending
10:55,Lightning Talk 2,TBC,,Pending
11:05,Lightning Talk 3,TBC,,Pending
11:15,Lightning Talk 4,TBC,,Pending
11:25,Lightning Talk 5,TBC,,Pending
11:35,Lightning Talk 6,TBC,,Pending
11:45,Lightning Talk 7,TBC,,Pending
11:55,Lightning Talk 8,TBC,,Pending
12:05,Lightning Talk 9,TBC,,Pending
12:15,Lightning Talk 10,TBC,,Pending
12:25,Lightning Talk 11,TBC,,Pending
12:35,Lightning Talk 12,TBC,,Pending
12:45,Lightning Talk 13,TBC,,Pending
